ID,Content,Target1
0,Chapter,Chapter1/1日目午前8時45分
1,Background,Chapter1/船のデッキ
2,Music,Chapter1/小型船
3,Sentence,『海の風と波の音で気持ちがいいな〜』
4,Sentence,今、船内にいる乗客は$一緒にきた友人を含めて8人いるようだ。
5,Sentence,『おーい！池村！$ さっき船長と話していたんだけど、$1時間ぐらいで島に着くみたいだよ』
6,NextPage,
7,Sentence,こいつは友人の佐和田　崇史（さわだ　たかし）$少しそそっかしいところがあるが$とてもいいやつだ。
8,Sentence,『あと1時間もかかるのか。$そういえば、乗船の時に他の乗客と話していたみたいだけど、$知り合いなのか？』
9,Sentence,『実は他の6人は大学時代のキャンプサークルの$メンバーなんだ。$池村が乗船の直前でツアーに参加しないとか$言うんじゃないかと思って言えなかった』
10,NextPage,
11,Sentence,『はあ！？まじかよ』
13,Sentence,『仲間外れになるし、$池村そう言うの嫌がるだろ？』
14,Sentence,『嫌がるも何もそういうの、$好きなやついないだろ！』
15,NextPage,
16,Sentence,『本当にごめん。$でもこんな偶然起きる分けないし、$何か嫌な予感がするんだ』
17,Sentence,『嫌な予感って？』
18,Sentence,『いや、特にこれといってないんだけどね。』
19,Sentence,、、、、ハハハハ。
20,NextPage,
21,Sentence,『まあ、いいか。せっかくの休みだし、$静かな島でゆっくり羽を伸ばそう』
22,Sentence,佐和田の嫌な予感は気になるが、$おれは島に行くことにした。
23,Sentence,10分ほど、海を眺めていると$後ろから声が聞こえてくる。
24,NextPage,
25,Sentence,『さわだ〜』
26,Sentence,『中上か。どうした？』
27,Sentence,中上　春彦（なかうえ　はるひこ）俺らと同じ28歳。$お調子者らしい。職業はメーカー系の営業マン。
28,NextPage,
29,Sentence,『どうしたじゃねーよ。$乗船後から全然声をかけてこねーじゃねーか』
30,Sentence,『ごめんごめん。$一緒にきた友人に悪いから声かけづらくてね』
31,Sentence,『そっちの方は佐和田の高校の時の友人$とか言ってたよな！$どうせこれから島で一緒になるんだから$今のうちに紹介すればいいじゃん』
32,NextPage,
33,Select,船で待機/島へ上陸/誰かに声をかける
